Name,Fibered,Crossing Number,Genus-3D,Arc Index,Grid Notation
3_1,Y,3,1,5,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;1];[4;4];[5;2];[5;5]]
4_1,Y,4,1,6,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;1];[4;5];[5;4];[5;6];[6;2];[6;5]]
5_1,Y,5,2,7,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;6];[5;5];[5;7];[6;1];[6;6];[7;2];[7;7]]
8_19,Y,8,3,7,[[1;1];[1;4];[2;2];[2;5];[3;3];[3;6];[4;4];[4;7];[5;1];[5;5];[6;2];[6;6];[7;3];[7;7]]
6_2,Y,6,2,8,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;7];[5;6];[5;8];[6;1];[6;7];[7;5];[7;8];[8;2];[8;6]]
6_3,Y,6,2,8,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;1];[5;7];[6;4];[6;8];[7;2];[7;6];[8;5];[8;7]]
8_20,Y,8,2,8,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;6];[4;4];[4;8];[5;1];[5;5];[6;2];[6;7];[7;6];[7;8];[8;4];[8;7]]
8_21,Y,8,2,8,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;6];[4;5];[4;8];[5;3];[5;7];[6;1];[6;6];[7;4];[7;8];[8;2];[8;7]]
9_42,Y,9,2,8,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;8];[4;3];[4;7];[5;1];[5;6];[6;5];[6;8];[7;4];[7;7];[8;2];[8;6]]
10_124,Y,10,4,8,[[1;1];[1;4];[2;2];[2;5];[3;3];[3;6];[4;4];[4;7];[5;5];[5;8];[6;1];[6;6];[7;2];[7;7];[8;3];[8;8]]
7_1,Y,7,3,9,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;6];[5;5];[5;7];[6;6];[6;8];[7;7];[7;9];[8;1];[8;8];[9;2];[9;9]]
7_6,Y,7,2,9,[[1;5];[1;8];[2;7];[2;9];[3;2];[3;8];[4;6];[4;9];[5;4];[5;7];[6;1];[6;5];[7;3];[7;6];[8;2];[8;4];[9;1];[9;3]]
7_7,Y,7,2,9,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;7];[5;6];[5;9];[6;1];[6;8];[7;4];[7;9];[8;2];[8;7];[9;5];[9;8]]
9_43,Y,9,3,9,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;6];[5;9];[6;1];[6;7];[7;4];[7;8];[8;5];[8;9];[9;2];[9;7]]
9_44,Y,9,2,9,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;1];[5;7];[6;6];[6;9];[7;4];[7;8];[8;2];[8;7];[9;5];[9;9]]
9_45,Y,9,2,9,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;9];[5;1];[5;7];[6;4];[6;8];[7;6];[7;9];[8;2];[8;7];[9;5];[9;8]]
9_47,Y,9,3,9,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;8];[4;6];[4;9];[5;1];[5;7];[6;5];[6;8];[7;3];[7;6];[8;4];[8;9];[9;2];[9;7]]
9_48,Y,9,2,9,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;6];[4;5];[4;8];[5;7];[5;9];[6;3];[6;8];[7;1];[7;6];[8;4];[8;9];[9;2];[9;7]]
10_132,Y,10,2,9,[[1;5];[1;8];[2;6];[2;9];[3;2];[3;7];[4;4];[4;8];[5;5];[5;9];[6;1];[6;6];[7;3];[7;7];[8;2];[8;4];[9;1];[9;3]]
10_136,Y,10,2,9,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;6];[4;5];[4;9];[5;3];[5;8];[6;1];[6;7];[7;6];[7;9];[8;4];[8;8];[9;2];[9;7]]
10_139,Y,10,4,9,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;5];[5;9];[6;1];[6;6];[7;2];[7;8];[8;4];[8;7];[9;6];[9;9]]
10_140,Y,10,2,9,[[1;4];[1;7];[2;6];[2;9];[3;2];[3;8];[4;1];[4;7];[5;5];[5;9];[6;4];[6;8];[7;3];[7;6];[8;2];[8;5];[9;1];[9;3]]
10_145,Y,10,2,9,[[1;6];[1;9];[2;2];[2;7];[3;4];[3;8];[4;5];[4;9];[5;1];[5;6];[6;4];[6;7];[7;3];[7;8];[8;2];[8;5];[9;1];[9;3]]
10_160,Y,10,3,9,[[1;2];[1;7];[2;4];[2;8];[3;6];[3;9];[4;1];[4;7];[5;5];[5;8];[6;3];[6;6];[7;4];[7;9];[8;2];[8;5];[9;1];[9;3]]
10_161,Y,10,3,9,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;1];[5;6];[6;5];[6;9];[7;2];[7;8];[8;4];[8;7];[9;6];[9;9]]
11n_19,Y,11,3,9,[[1;3];[1;7];[2;6];[2;9];[3;2];[3;8];[4;1];[4;7];[5;5];[5;9];[6;4];[6;8];[7;3];[7;6];[8;2];[8;5];[9;1];[9;4]]
11n_38,Y,11,2,9,[[1;2];[1;6];[2;4];[2;7];[3;5];[3;8];[4;6];[4;9];[5;1];[5;7];[6;3];[6;8];[7;4];[7;9];[8;2];[8;5];[9;1];[9;3]]
11n_95,Y,11,3,9,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;8];[4;6];[4;9];[5;3];[5;7];[6;5];[6;8];[7;1];[7;6];[8;4];[8;9];[9;2];[9;7]]
11n_118,Y,11,3,9,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;9];[5;1];[5;6];[6;5];[6;8];[7;2];[7;7];[8;6];[8;9];[9;4];[9;8]]
12n_242,Y,12,5,9,[[1;1];[1;4];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;5];[5;9];[6;1];[6;6];[7;2];[7;7];[8;3];[8;8];[9;6];[9;9]]
12n_591,Y,12,4,9,[[1;1];[1;4];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;1];[5;6];[6;5];[6;9];[7;2];[7;7];[8;3];[8;8];[9;6];[9;9]]
8_2,Y,8,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;6];[5;5];[5;7];[6;6];[6;9];[7;8];[7;10];[8;1];[8;9];[9;7];[9;10];[10;2];[10;8]]
8_5,Y,8,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;7];[5;6];[5;8];[6;7];[6;10];[7;1];[7;8];[8;5];[8;9];[9;6];[9;10];[10;2];[10;9]]
8_7,Y,8,3,10,[[1;7];[1;9];[2;2];[2;8];[3;6];[3;10];[4;1];[4;9];[5;7];[5;10];[6;5];[6;8];[7;4];[7;6];[8;3];[8;5];[9;2];[9;4];[10;1];[10;3]]
8_9,Y,8,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;7];[5;6];[5;9];[6;1];[6;8];[7;7];[7;10];[8;5];[8;9];[9;2];[9;6];[10;8];[10;10]]
8_10,Y,8,3,10,[[1;8];[1;10];[2;2];[2;9];[3;6];[3;10];[4;5];[4;8];[5;1];[5;7];[6;6];[6;9];[7;4];[7;7];[8;3];[8;5];[9;2];[9;4];[10;1];[10;3]]
8_12,Y,8,2,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;1];[4;5];[5;4];[5;7];[6;6];[6;8];[7;7];[7;10];[8;2];[8;9];[9;8];[9;10];[10;5];[10;9]]
8_16,Y,8,3,10,[[1;2];[1;9];[2;5];[2;10];[3;4];[3;8];[4;7];[4;9];[5;1];[5;8];[6;6];[6;10];[7;5];[7;7];[8;3];[8;6];[9;2];[9;4];[10;1];[10;3]]
8_17,Y,8,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;1];[5;7];[6;6];[6;9];[7;4];[7;8];[8;5];[8;10];[9;2];[9;9];[10;7];[10;10]]
8_18,Y,8,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;5];[4;9];[5;3];[5;8];[6;6];[6;10];[7;1];[7;9];[8;7];[8;10];[9;4];[9;8];[10;2];[10;6]]
10_125,Y,10,3,10,[[1;6];[1;9];[2;8];[2;10];[3;2];[3;9];[4;1];[4;7];[5;6];[5;10];[6;5];[6;8];[7;4];[7;7];[8;3];[8;5];[9;2];[9;4];[10;1];[10;3]]
10_126,Y,10,3,10,[[1;8];[1;10];[2;2];[2;9];[3;6];[3;10];[4;1];[4;7];[5;5];[5;8];[6;6];[6;9];[7;4];[7;7];[8;3];[8;5];[9;2];[9;4];[10;1];[10;3]]
10_127,Y,10,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;7];[5;6];[5;8];[6;7];[6;10];[7;5];[7;9];[8;1];[8;8];[9;6];[9;10];[10;2];[10;9]]
